human_ensembl,Arabidopsis thaliana,Caenorhabditis elegans,Drosophila melanogaster,Mus musculus,Saccharomyces cerevisiae,n_species
ENSG00000000003,,,FBgn0032075,ENSMUSG00000067377,,2
ENSG00000000005,,,,ENSMUSG00000031250,,1
ENSG00000000419,,WBGene00022044,FBgn0032799,ENSMUSG00000078919,YPR183W,4
ENSG00000000457,,,FBgn0027507,ENSMUSG00000026584,,2
ENSG00000000460,,,,ENSMUSG00000041406,,1
ENSG00000000938,,WBGene00005077,FBgn0262733,ENSMUSG00000028874,,3
ENSG00000000971,,,,ENSMUSG00000026365,,1
ENSG00000001036,,WBGene00012225,FBgn0285958,ENSMUSG00000019810,,3
ENSG00000001084,,WBGene00001527,FBgn0040319,ENSMUSG00000032350,YJL101C,4
ENSG00000001167,AT3G14020,WBGene00011614,FBgn0035993,ENSMUSG00000023994,YGL237C,5
ENSG00000001460,,,,ENSMUSG00000028801,,1
ENSG00000001461,,,FBgn0032451,ENSMUSG00000028803,,2
ENSG00000001497,,WBGene00012393,FBgn0052075,ENSMUSG00000057421,YKR063C,4
ENSG00000001561,,WBGene00015283,,ENSMUSG00000023961,YEL016C,3
ENSG00000001617,,WBGene00004889,FBgn0011260,ENSMUSG00000034684,,3
ENSG00000001626,,WBGene00000477,FBgn0034612,ENSMUSG00000041301,,3
ENSG00000001629,,,,ENSMUSG00000040351,,1
ENSG00000001630,AT1G11680,,,ENSMUSG00000001467,YHR007C,3
ENSG00000001631,,WBGene00013955,,ENSMUSG00000000600,,2
ENSG00000002016,,,,ENSMUSG00000030166,YML032C,2
ENSG00000002330,,,FBgn0039752,ENSMUSG00000024959,,2
ENSG00000002549,,,FBgn0035915,ENSMUSG00000039682,,2
ENSG00000002587,,WBGene00002030,FBgn0053147,ENSMUSG00000051022,,3
ENSG00000002726,,,,ENSMUSG00000029811,,1
ENSG00000002745,,WBGene00001188,,ENSMUSG00000029671,,2
ENSG00000002746,,WBGene00009738,,ENSMUSG00000021301,,2
ENSG00000002822,,WBGene00003160,FBgn0026326,ENSMUSG00000029554,YGL086W,4
ENSG00000002834,,WBGene00018367,FBgn0063485,ENSMUSG00000038366,,3
ENSG00000002919,,,,ENSMUSG00000020876,,1
ENSG00000002933,,,,ENSMUSG00000023367,,1
ENSG00000003056,,,,ENSMUSG00000007458,,1
ENSG00000003096,,,FBgn0031119,ENSMUSG00000036782,,2
ENSG00000003137,,,,ENSMUSG00000063415,,1
ENSG00000003147,,WBGene00004368,FBgn0037050,ENSMUSG00000062995,,3
ENSG00000003249,,,,ENSMUSG00000031970,,1
ENSG00000003393,,,FBgn0037116,ENSMUSG00000026024,,2
ENSG00000003400,,,FBgn0020381,,,1
ENSG00000003402,,WBGene00000417,FBgn0020381,ENSMUSG00000026031,,3
ENSG00000003436,,,,ENSMUSG00000027082,,1
ENSG00000003509,,WBGene00014227,FBgn0037880,ENSMUSG00000024082,,3
ENSG00000003756,,WBGene00020346,FBgn0031318,ENSMUSG00000032580,,3
ENSG00000003987,,WBGene00003478,FBgn0028497,ENSMUSG00000039431,YJR110W,4
ENSG00000003989,,WBGene00015197,FBgn0036493,ENSMUSG00000031596,,3
ENSG00000004059,,WBGene00000183,FBgn0013749,ENSMUSG00000020440,,3
ENSG00000004139,,WBGene00006575,FBgn0262579,ENSMUSG00000050132,,3
ENSG00000004142,,WBGene00022787,FBgn0037329,ENSMUSG00000001100,,3
ENSG00000004399,,WBGene00004047,FBgn0025740,ENSMUSG00000030123,,3
ENSG00000004455,AT5G63400,WBGene00002879,FBgn0283494,ENSMUSG00000028792,YDR226W,5
ENSG00000004468,,,,ENSMUSG00000029084,,1
ENSG00000004478,AT3G55520,WBGene00001431,FBgn0029174,ENSMUSG00000030357,,4
ENSG00000004487,AT3G10400,WBGene00005010,FBgn0260397,ENSMUSG00000036940,,4
ENSG00000004534,,WBGene00020346,FBgn0031318,ENSMUSG00000032582,,3
ENSG00000004660,,WBGene00000518,FBgn0040056,ENSMUSG00000020785,YGL179C,4
ENSG00000004700,,WBGene00019334,,ENSMUSG00000030243,,2
ENSG00000004766,AT2G27900,WBGene00008078,FBgn0034271,ENSMUSG00000001376,,4
